"2008";"1";"11,1";"Reprovacao";"50011790"
"2008";"2";"6,7";"Reprovacao";"50011790"
"2008";"3";"2,6";"Reprovacao";"50011790"
"2008";"4";"11,8";"Reprovacao";"50011790"
"2008";"5";"9,1";"Reprovacao";"50011790"
"2008";"6";"10,6";"Reprovacao";"50011790"
"2008";"7";"0";"Reprovacao";"50011790"
"2008";"8";"2,2";"Reprovacao";"50011790"
"2008";"9";"0";"Reprovacao";"50011790"
"2008";"10";"9,3";"Reprovacao";"50011790"
"2008";"11";"17,7";"Reprovacao";"50011790"
"2008";"12";"0";"Reprovacao";"50011790"
"2008";"13";"2,1";"Reprovacao";"50011790"
"2008";"1";"9,4";"Reprovacao";"50011774"
"2008";"2";"20";"Reprovacao";"50011774"
"2008";"3";"7,3";"Reprovacao";"50011774"
"2008";"4";"7,9";"Reprovacao";"50011774"
"2008";"5";"16,3";"Reprovacao";"50011774"
"2008";"6";"21,6";"Reprovacao";"50011774"
"2008";"7";"2,4";"Reprovacao";"50011774"
"2008";"8";"11";"Reprovacao";"50011774"
"2008";"9";"11,9";"Reprovacao";"50011774"
"2008";"10";"1,1";"Reprovacao";"50011774"
"2008";"11";"7,5";"Reprovacao";"50011774"
"2008";"12";"0";"Reprovacao";"50011774"
"2008";"13";"7,4";"Reprovacao";"50011774"
"2008";"1";"17,8";"Reprovacao";"50027395"
"2008";"2";"13,3";"Reprovacao";"50027395"
"2008";"3";"10,3";"Reprovacao";"50027395"
"2008";"4";"10,6";"Reprovacao";"50027395"
"2008";"5";"17,4";"Reprovacao";"50027395"
"2008";"6";"13,7";"Reprovacao";"50027395"
"2008";"7";"0";"Reprovacao";"50027395"
"2008";"8";"5,7";"Reprovacao";"50027395"
"2008";"9";"0";"Reprovacao";"50027395"
"2008";"10";"13,3";"Reprovacao";"50027395"
"2008";"11";"4,5";"Reprovacao";"50027395"
"2008";"12";"7,6";"Reprovacao";"50027395"
"2008";"13";"2,4";"Reprovacao";"50027395"
"2008";"1";"18,4";"Reprovacao";"50011804"
"2008";"2";"20,2";"Reprovacao";"50011804"
"2008";"3";"19";"Reprovacao";"50011804"
"2008";"4";"16,6";"Reprovacao";"50011804"
"2008";"5";"21,1";"Reprovacao";"50011804"
"2008";"6";"18,6";"Reprovacao";"50011804"
"2008";"7";"0";"Reprovacao";"50011804"
"2008";"8";"2";"Reprovacao";"50011804"
